Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-07-02,3835,3859.4,3816.8,3853.2,2828718.5941428
2019-07-03,3871.39,3901.58,3845.44,3845.44,3248492.327209
2019-07-04,3823.78,3833.06,3790.87,3802.87,2394175.5909715
2019-07-05,3717.31,3741.31,3628.28,3657.31,5740094.8759388
2019-07-08,3691.36,3727.38,3691.36,3718.09,3304943.0620422
2019-07-09,3716.54,3755.64,3696.4,3720.02,4513075.6347575
2019-07-10,3739.76,3781.58,3719.64,3759.89,3167685.6377009
2019-07-11,3781.18,3788.16,3712.66,3735.12,3286020.8175803
2019-07-12,3718.09,3774.6,3712.28,3723.12,2998807.4310303
2019-07-15,3747.5,3792.41,3747.12,3769.19,2789939.7121474
2019-07-16,3714.6,3773.44,3709.95,3755.25,3873887.9926993
2019-07-17,3726.6,3784.67,3725.45,3775.37,3153261.6640275
2019-07-18,3770.74,3770.74,3692.53,3701.04,6044086.5300152
2019-07-19,3730.08,3773.05,3702.2,3756.03,3517755.5310701
2019-07-22,3744.41,3788.53,3722.34,3730.46,3920596.136392
2019-07-23,3758.73,3800.16,3738.61,3738.61,5148562.3268786
2019-07-24,3651.49,3656.92,3548.5,3566.7,7131857.1374317
2019-07-25,3514.46,3579.87,3508.25,3542.7,4611805.3017811
2019-07-26,3546.19,3587.61,3536.51,3565.94,4301236.2738556
2019-07-29,3566.33,3644.12,3560.53,3624.79,3907027.0329756
2019-07-30,3658.46,3686.34,3644.12,3661.18,4645651.6765661
2019-07-31,3664.66,3675.12,3597.69,3637.55,6641723.5014482
2019-08-01,3611.99,3612.4,3500.9,3514.83,9630827.0563924
2019-08-02,3405.28,3457.14,3338.69,3396.37,7994821.9797563
2019-08-05,3249.65,3327.45,3227.57,3321.65,5973828.1233217
2019-08-06,3309.65,3335.59,3273.26,3273.26,5679833.324122
2019-08-07,3224.87,3283.33,3205.52,3248.1,4364282.1705359
2019-08-08,3279.46,3316.96,3261.12,3316.96,7603007.8404895
2019-08-09,3290.63,3290.63,3221.63,3235.59,4365760.6670757
2019-08-12,3226.81,3254.73,3216.83,3223.22,3436733.2928803
2019-08-13,3208.46,3304.99,3199.7,3284.65,6687607.1191159
2019-08-14,3297.81,3299,3218.43,3239.97,4138417.4963865
2019-08-15,3228.01,3248.35,3178.15,3211.66,3518189.7674919
2019-08-16,3222.82,3235.59,3183.33,3194.91,3471123.7711336
2019-08-19,3220.43,3256.73,3214.44,3242.77,3588838.4637886
2019-08-20,3226.41,3261.52,3198.49,3198.49,3677944.8238935
2019-08-21,3197.3,3207.66,3173.37,3182.93,4033050.8134028
2019-08-22,3186.94,3205.26,3129.49,3147.84,3486425.6348259
2019-08-23,3164.58,3189.32,3123.11,3130.68,2853183.3695114
2019-08-27,3127.1,3153.42,3111.53,3138.65,4548245.6458644
2019-08-28,3175.75,3185.34,3130.68,3182.13,3359577.3283737
2019-08-29,3168.59,3240.77,3165.4,3225.21,3208112.5253935
2019-08-30,3241.56,3318.15,3240.37,3310.16,5565289.0805225
2019-09-02,3325.72,3353.26,3308.18,3308.18,3474251.3197233
2019-09-03,3307.38,3319.35,3270.68,3293.83,3264139.4873331
2019-09-04,3323.74,3366.43,3299,3356.45,3587839.196842
2019-09-05,3378.38,3395.92,3315.36,3366.82,4114046.892772
2019-09-06,3354.45,3398.32,3329.33,3379.98,3286876.73419
2019-09-09,3390.35,3407.9,3329.73,3365.22,5888705.2284162
2019-09-10,3350.46,3391.15,3345.68,3391.15,4408731.2384825
2019-09-11,3429.83,3447.78,3409.89,3421.06,2824053.9532552
